slug,name,brand,category,subcategory,type,price,score,rank,badge,buyUrl,pros,cons,specs,shortDescription,review,dateAdded,featured
biore-uv-aqua-rich,Biore UV Aqua Rich Watery Essence,Kao,Beauty,Skincare,Sunscreen,¥800,92,1,top-pick,https://www.amazon.co.jp/dp/B07ND6JTB6,"Lightweight watery texture|No white cast|Doubles as makeup primer","Needs reapplication every 2 hours|Contains alcohol (drying for some)","SPF:50+|PA:PA++++|Volume:50g|Key Ingredients:Hyaluronic acid royal jelly extract",A bestselling watery essence sunscreen loved for its lightweight invisible finish.,Biore UV Aqua Rich Watery Essence is the gold standard for daily-wear Japanese sunscreens. Its water-light texture disappears into the skin with zero white cast making it perfect under makeup.,2026-03-15,true
anessa-perfect-uv,Anessa Perfect UV Sunscreen Milk,Shiseido,Beauty,Skincare,Sunscreen,¥2500,89,2,,https://www.amazon.co.jp/dp/B09YG2S15Y,"Strongest UV protection|Sweat and water resistant|Great for outdoor use","Higher price point|Can feel heavy on oily skin","SPF:50+|PA:PA++++|Volume:60ml|Key Ingredients:Auto Booster Technology",The gold standard for outdoor UV protection in Japan.,Anessa Perfect UV Sunscreen Milk by Shiseido is the go-to choice for anyone spending time outdoors in Japan.,2026-03-15,false
skin-aqua-moisture-gel,Skin Aqua Super Moisture Gel,Rohto,Beauty,Skincare,Sunscreen,¥700,84,3,budget-pick,https://www.amazon.co.jp/dp/B084BFB2MY,"Very affordable|Lightweight gel texture|No white cast","Lower water resistance|Needs frequent reapplication","SPF:50+|PA:PA++++|Volume:110g|Key Ingredients:Hyaluronic acid collagen",The best budget sunscreen in Japan with a massive 110g bottle.,Skin Aqua Super Moisture Gel is the budget king. At under ¥700 for 110g you get incredible value with solid SPF50+ protection.,2026-03-15,true
canmake-mermaid-skin,Canmake Mermaid Skin Gel UV,Canmake,Beauty,Skincare,Sunscreen,¥770,82,4,,https://www.amazon.co.jp/dp/B0C53NXT7Y,"Beautiful dewy finish|Works as primer|Alcohol-free","Small 40g tube|Can pill under some foundations","SPF:50+|PA:PA++++|Volume:40g|Key Ingredients:Hyaluronic acid aloe extract",A cult-favorite gel sunscreen that doubles as a glowy makeup base.,Canmake Mermaid Skin Gel UV has a cult following for good reason. It gives skin a beautiful dewy glow while providing strong UV protection.,2026-03-15,false
allie-chrono-beauty,Allie Chrono Beauty Gel UV EX,Kanebo,Beauty,Skincare,Sunscreen,¥1800,86,5,,https://www.amazon.co.jp/dp/B0BX5WD4G5,"Friction-proof technology|Gel texture absorbs quickly|Good for daily use","Mid-range price|Slight white cast on darker skin","SPF:50+|PA:PA++++|Volume:90g|Key Ingredients:Beauty Gene Technology",A friction-proof gel sunscreen that stays put through daily wear.,Allie Chrono Beauty uses Kanebo friction-proof technology that keeps the UV film intact even when your skin is touched or rubbed.,2026-03-15,false
nivea-uv-super-water,Nivea UV Super Water Gel,Nivea,Beauty,Skincare,Sunscreen,¥600,78,6,,https://www.amazon.co.jp/dp/B0BWLMH9Z9,"Extremely affordable|Light water gel texture|Large 140g pump bottle","Lower protection in intense sun|Contains alcohol","SPF:50|PA:PA+++|Volume:140g|Key Ingredients:Hyaluronic acid",An ultra-affordable everyday sunscreen in a convenient pump bottle.,Nivea UV Super Water Gel is the everyday workhorse. The 140g pump bottle sits on your bathroom counter and makes daily application effortless.,2026-03-15,false
rohto-melano-cc,Rohto Melano CC Vitamin C Essence,Rohto,Beauty,Skincare,Serum,¥1200,88,1,top-pick,https://www.amazon.co.jp/dp/B01BLJNK9Q,"Brightens dark spots effectively|Very affordable for vitamin C|Stable formula","Strong citrus scent|Small 20ml tube|Can sting sensitive skin","Volume:20ml|Key Ingredients:Active Vitamin C Vitamin E|Type:Spot treatment",Japan most popular vitamin C serum for brightening dark spots and acne scars.,Rohto Melano CC is the undisputed champion of affordable vitamin C in Japan. The active vitamin C penetrates directly into dark spots and the results are visible within weeks.,2026-03-14,true
hada-labo-premium,Hada Labo Gokujyun Premium Lotion,Rohto,Beauty,Skincare,Moisturizer,¥900,90,1,top-pick,https://www.amazon.co.jp/dp/B0BS7KB834,"7 types of hyaluronic acid|Incredible hydration|Fragrance-free","Thick sticky texture|Takes time to absorb|Not a standalone moisturizer in winter","Volume:170ml|Key Ingredients:7 types of Hyaluronic Acid|pH:5.0",The legendary hydrating lotion with 7 types of hyaluronic acid.,Hada Labo Gokujyun Premium is arguably the most famous J-beauty product worldwide. Layer it on damp skin and watch it plump your face with moisture.,2026-03-14,true
tsubaki-premium-shampoo,Tsubaki Premium Moist Shampoo,Shiseido,Beauty,Haircare,Shampoo,¥900,83,1,top-pick,https://www.amazon.co.jp/dp/B0BVMTBLXS,"Camellia oil for deep moisture|Rich lather|Salon-quality results","Can weigh down fine hair|Strong floral fragrance","Volume:490ml|Key Ingredients:Camellia Oil Royal Jelly|Hair Type:Dry to Normal",Shiseido premium shampoo with camellia oil for silky moisturized hair.,Tsubaki Premium Moist delivers the kind of silky smooth results you expect from a Japanese salon. The camellia oil deeply nourishes without making hair greasy.,2026-03-13,false
zojirushi-rice-cooker,Zojirushi Pressure IH Rice Cooker NW-FA10,Zojirushi,Electronics,Kitchen,Rice Cooker,¥55000,95,1,top-pick,https://www.amazon.co.jp/dp/B0D9L1X5BQ,"AI-powered cooking adjustments|Pressure IH for perfect texture|121 cooking programs","Very expensive|Heavy at 8.5kg|Japanese interface only","Capacity:5.5 cups|Power:1240W|Weight:8.5kg|Technology:Pressure IH + AI",The ultimate Japanese rice cooker with AI that learns your preferences.,The Zojirushi NW-FA10 is the pinnacle of rice cooking technology. Its AI analyzes rice type moisture and your past preferences to deliver consistently perfect results.,2026-03-14,true
panasonic-nanoe-dryer,Panasonic Nanoe Hair Dryer EH-NA0J,Panasonic,Electronics,Personal Care,Hair Dryer,¥25000,91,1,top-pick,https://www.amazon.co.jp/dp/B0B5FCSJ5L,"High-penetration nanoe technology|Reduces hair damage|Compact and lightweight","Premium price|220V model needs transformer abroad","Power:1200W|Weight:550g|Technology:High-penetration Nanoe|Voltage:AC100V",Panasonic flagship hair dryer with nanoe ions that penetrate deep into hair.,The Panasonic EH-NA0J represents the cutting edge of Japanese hair dryer technology. The nanoe ions are 18x more water content than standard negative ions.,2026-03-13,true
